Time_DR1,Front_DR1,Back_DR1,Time__F1,Back_F1,Front_F1,Time_F2,Front_F2,Back_F2,Time_B1,Back_B1,Front_B1,Time_B2,Back_B2,Front_B2,Time_C1,Back_C1,Front_C1,Time_C2,Back_C2,Front_C2
6.267,28.3240757,32.50927734,6.066,33.31067276,27.36425972,6.467,27.94110107,31.10386658,6.533,31.59631157,31.22383881,6.666,27.85887146,29.5601387,6.334,30.85019875,31.01047325,6.467,32.13963699,32.48291397
6.333,28.3240757,32.46972656,6.2,33.1927681,27.35049057,6.601,28.11906815,31.0771904,6.733,31.6759758,31.21051407,6.733,27.8999939,29.60066795,6.533,30.59598732,30.98377609,6.6,32.17929459,32.62785339
6.533,28.39233208,32.49609756,6.266,33.33686066,27.32294655,6.734,27.8999939,31.25048256,6.8,31.83514786,31.13053894,6.866,28.09170723,29.65468407,6.6,30.67632294,31.0905304,6.733,32.13963699,32.41697311
6.6,28.5696106,32.46972656,6.4,33.6375885,27.22649193,6.801,27.99588966,31.27712059,6.933,31.79537392,31.47671509,7,27.87257957,29.72216988,6.734,30.59598732,31.29043579,6.933,32.08673477,32.60151291
6.733,28.47418594,32.7068367,6.466,33.84635544,27.43308258,6.934,28.00958252,31.39691734,7,31.78211403,31.45012093,7.066,27.8314476,29.910923,6.867,30.78335381,31.33037758,7.067,32.25857162,32.56199265
6.867,28.51509285,32.87779236,6.6,33.75506592,27.43308258,7.067,28.21478271,31.41021919,7.133,31.91465378,31.39691734,7.199,28.18744469,29.81658363,6.934,30.87692642,31.25048256,7.133,32.19251251,32.62785339
6.933,28.3650341,32.93034363,6.733,33.66370392,27.3917942,7.134,28.13274574,31.33037758,7.266,31.95438576,31.46341896,7.266,28.07802391,29.72216988,7.067,30.8902874,31.15720367,7.267,32.17929459,32.58834076
7.067,28.54235458,32.75946426,6.8,34.18483734,27.22649193,7.267,28.25577927,31.70251846,7.4,32.29819489,31.45012093,7.466,27.88628769,29.84354591,7.2,30.81009674,31.21051407,7.4,32.07350922,32.61468506
7.2,28.51509285,32.90407181,6.933,33.97665405,27.44684219,7.334,28.16009903,31.70251846,7.533,32.25857162,31.46341896,7.533,27.95480156,29.66818428,7.267,30.95707321,31.17053223,7.533,32.31139755,32.79891968
7.267,28.61048317,32.79891968,7,34.13282394,27.4881115,7.467,28.33773041,31.55645943,7.6,32.29819489,31.70251846,7.666,27.9136982,29.70867538,7.4,30.67632294,31.30375099,7.6,32.35099792,32.62785339
7.4,28.41962242,33.25828552,7.133,34.26281738,27.62556839,7.534,28.54235458,32.35099792,7.733,32.32460022,31.87490654,7.733,28.31042099,29.77612877,7.533,30.81009674,31.26380157,7.733,32.31139755,32.65418625
7.467,28.69218445,33.32376862,7.2,34.36671066,27.4881115,7.734,28.47418594,32.24536514,7.866,32.33779907,31.76885223,7.866,28.17377281,29.9378624,7.6,30.78335381,31.31706619,7.867,32.43016434,32.54881668
7.6,28.65134048,33.34994888,7.333,34.44457245,27.57060432,7.801,28.51509285,32.32460022,7.933,32.39058685,31.79537392,8,28.11906815,30.01864624,7.734,30.79672623,31.39691734,7.933,32.35099792,32.5356369
7.733,28.63772392,33.40229797,7.4,34.56127548,27.58434868,7.934,28.6785717,32.23215103,8.133,32.68051529,31.88815689,8.066,28.09170723,30.01864624,7.867,31.14387131,31.37030602,8.067,32.40378189,32.77261734
7.8,28.66495705,33.55921173,7.533,34.6390152,27.4881115,8,28.59686089,32.49609756,8.266,32.66735077,31.72905731,8.199,28.378685,29.97826195,7.934,30.90364838,31.55645943,8.2,32.33779907,32.75946426
7.933,28.58323669,33.59840775,7.6,34.70375824,27.57060432,8.134,28.44690895,32.49609756,8.4,32.64102173,31.96762848,8.333,28.24211693,30.1262722,8.067,30.90364838,31.49000931,8.333,32.35099792,32.75946426
8.067,28.88259888,33.82027817,7.733,34.8719368,27.4881115,8.201,28.73301315,32.36419678,8.466,32.7068367,31.84840202,8.4,28.18744469,30.03210449,8.2,31.17053223,31.66270256,8.4,32.09996414,32.64102173
8.2,28.77382851,33.85939026,7.866,35.09151459,27.66677284,8.401,28.74662018,32.41697311,8.6,32.77261734,31.78211403,8.533,28.33773041,30.18004799,8.267,31.0905304,31.59631157,8.533,32.25857162,32.79891968
8.267,28.7602253,33.91152191,8,34.98823166,27.69423485,8.467,28.78743172,32.49609756,8.733,32.75946426,31.88815689,8.666,28.29676247,30.00518608,8.4,31.22383881,31.79537392,8.6,32.49609756,32.74631119
8.4,28.84182167,33.71591949,8.066,34.83314514,27.81773376,8.667,28.73301315,32.56199265,8.866,32.71999741,31.88815689,8.8,28.29676247,30.1262722,8.533,31.18386078,31.50330162,8.733,32.39058685,32.91720963
8.467,28.85541725,34.10681152,8.2,35.10441589,27.84515953,8.734,28.59686089,32.78577042,8.933,32.7068367,32.06027985,8.866,27.96849823,30.3546524,8.6,31.21051407,31.70251846,8.867,32.44335556,32.89093399
8.6,28.92336273,34.04174805,8.333,35.24627304,27.84515953,8.867,28.80103111,32.7331543,9.066,32.79891968,31.98086739,9,28.13274574,30.31438255,8.734,31.0771904,31.75558853,8.933,32.40378189,32.95661163
8.733,28.93694687,34.18483734,8.4,35.24627304,27.77658272,9,28.62410355,32.83836365,9.2,32.90407181,31.95438576,9.199,28.05065155,30.39490891,8.867,31.23716164,31.39691734,9.067,32.56199265,33.03538132
8.867,28.90977669,34.23683167,8.533,35.3235817,27.81773376,9.067,28.7602253,33.08786774,9.266,32.79891968,32.07350922,9.333,28.20111465,30.27409744,8.934,30.95707321,31.66270256,9.2,32.5356369,32.94348145
9.067,28.96411133,34.61310577,8.666,35.51663589,27.80401802,9.201,28.96411133,33.1796608,9.4,32.96974564,32.09996414,9.466,28.3240757,30.30095482,9.134,31.0638504,31.66270256,9.333,32.32460022,32.90407181
9.133,29.07270622,34.48348618,8.733,35.67086411,27.94110107,9.334,28.6785717,32.99600601,9.533,32.87779236,32.15285492,9.533,28.35138321,30.27409744,9.2,31.18386078,31.52988243,9.467,32.46972656,33.08786774
9.333,29.03199387,34.57423401,8.933,35.6066246,27.77658272,9.401,28.88259888,33.1796608,9.666,32.95661163,32.03381348,9.666,28.13274574,30.31438255,9.334,31.22383881,31.58302879,9.533,32.44335556,33.08786774
