Time,Time_Short,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6
22.134,22.134,46.58581922,37.72158099,25.90548323,27.62774662,14.86077977,12.78819083
22.334,22.334,46.75581982,37.53133387,25.05952752,27.63083171,14.97053969,13.21785814
22.401,22.401,47.19096494,37.79847911,26.14537686,27.80099012,14.6430214,12.89379148
22.534,22.534,48.01088067,37.83234381,25.7533568,27.25009819,14.65955666,13.7580439
22.667,22.667,47.13754098,37.8027962,26.1502234,27.24161165,14.54977129,13.09625677
22.801,22.801,47.86260296,37.67966248,26.04756021,27.95887946,14.8839383,13.11513385
22.867,22.867,47.77388885,38.33554415,25.9477581,27.94016529,14.93057608,13.06589971
23,23,47.84564007,38.8350434,25.82471092,27.38330172,14.65790211,13.20760505
23.134,23.134,47.87341604,38.23410278,25.95068028,28.22537816,14.3920805,13.87222272
23.201,23.201,46.72938275,38.50454184,26.15802776,27.99540161,14.99867712,13.59651966
23.334,23.334,47.06702176,38.31919726,26.34660507,28.26751049,15.21821222,12.85336969
23.467,23.467,47.88422913,38.42504227,26.51749657,29.09302112,14.8375907,13.99627281
23.601,23.601,47.37232334,38.6793228,26.1502234,29.08653531,15.35426157,13.04132591
23.667,23.667,46.55595088,38.1152505,26.43729954,27.24834691,15.25137947,13.79428605
23.801,23.801,48.50854719,38.38565902,26.50265658,28.29766392,15.14160428,14.1364967
23.934,23.934,47.58201772,38.68081952,27.07208451,28.4427649,15.22335913,13.69141413
24,24,48.05611336,38.45639715,26.93028752,28.38201513,15.70624675,13.96685756
24.134,24.134,47.46542581,39.12636536,26.29767638,29.10273966,15.59294357,13.80141332
24.201,24.201,47.71014053,38.71457222,26.31122837,28.64616692,15.70270348,13.90686124
24.334,24.334,48.16150528,39.32106194,27.00458928,28.03869976,15.49019892,13.93686703
24.467,24.467,47.63853695,39.15117334,26.86308758,29.0042001,14.95873388,14.02676224
24.601,24.601,47.82482335,38.53576945,26.90821845,28.11285388,15.620745,13.68384905
24.667,24.667,48.32703097,39.14229989,27.24097528,29.09455858,15.73575873,13.4612034
24.801,24.801,47.6492584,38.83630595,26.46121152,29.39620489,15.9679651,14.17597667
24.934,24.934,48.25539175,39.26107071,27.38680426,29.35581874,15.68908531,13.9684001
25,25,48.77325389,39.70747182,27.27562907,29.6726614,15.51116327,14.34728053
25.134,25.134,48.13381075,40.3027819,26.77994291,29.55129422,15.9553702,14.10991708
25.267,25.267,48.57476968,39.81078665,27.62774662,28.98812302,16.00699198,14.18224357
25.334,25.334,48.71814994,40.21721397,27.63083171,29.74122062,15.86609099,13.60859529
25.467,25.467,48.6414249,40.42358399,27.80099012,29.38844635,16.16603185,14.05781167
25.601,25.601,49.29148767,40.70503468,27.25009819,29.82542928,16.24110743,14.19958828
25.734,25.734,48.34336259,39.8600157,27.24161165,29.45737211,15.91339059,14.32378601
25.867,25.867,48.51498718,40.32141462,27.95887946,29.49121645,16.15694968,14.20115119
25.934,25.934,48.29441863,40.23887068,27.94016529,29.97741317,15.72691583,15.10729667
26.067,26.067,49.0545264,39.9854556,27.38330172,29.85264017,15.66258715,14.30166093
26.267,26.267,48.72943647,40.40843346,28.22537816,29.83205764,15.50584836,14.09901236
26.334,26.334,49.04892132,39.80595538,27.99540161,29.5490695,16.51199959,14.77481984
26.467,26.467,49.0048799,40.41441527,28.26751049,29.97796807,16.58336389,14.38660778
26.601,26.601,48.87265382,40.70436268,29.09302112,29.85666199,16.19718819,14.8504656
26.734,26.734,49.58930053,40.60056422,29.08653531,29.29596497,16.5889588,14.86369177
26.801,26.801,48.64715726,40.50608211,27.24834691,30.10983779,16.94405452,14.4791197
26.934,26.934,49.51204096,40.53807336,28.29766392,29.30570387,16.86128659,15.2169395
27.067,27.067,49.63812741,40.97508684,28.4427649,29.84014709,16.55232974,14.82592235
27.201,27.201,49.14251761,40.58833077,28.38201513,30.03559203,16.79560373,14.53057348
27.267,27.267,49.1755474,41.11138055,29.10273966,30.33621507,17.10619985,15.14629301
27.401,27.401,48.95527412,41.942817,28.64616692,29.77916823,16.85750914,15.5152309
27.601,27.601,49.06541585,41.08714784,28.03869976,30.28546384,17.18138743,14.9326939
27.734,27.734,49.19727538,41.44169884,29.0042001,30.81225034,16.45873854,14.42709574
27.867,27.867,49.94066972,41.45967992,28.11285388,31.28788342,17.39736908,14.84897396
28,28,48.77927643,40.95997703,29.09455858,30.01232659,16.99826248,15.13295993
28.067,28.067,49.05985658,42.11969032,29.39620489,30.70055079,16.6894889,15.23298094
28.201,28.201,50.10072268,41.37939634,29.35581874,30.52856983,17.35293057,15.55479233
28.267,28.267,48.87832509,41.19796666,29.6726614,30.96039568,17.1910347,15.34472631
28.401,28.401,49.45603082,41.62311834,29.55129422,31.81067866,16.91365673,15.30522597
28.534,28.534,49.03238606,42.0629929,28.98812302,31.32065867,17.67881977,15.86980226
